Country/Territory	DrugGroup
Morocco	Opioids
Morocco	Sedatives and Tranquillizers
Sudan	ATS
Sudan	Cannabis-type
Sudan	Cannabis-type
Sudan	Cocaine-type
Sudan	Hallucinogens
Sudan	Opioids
Sudan	Other miscellaneous
Sudan	Sedatives and Tranquillizers
Sudan	ATS
Sudan	ATS
Sudan	Cannabis-type
Sudan	Cannabis-type
Sudan	Cannabis-type
Sudan	Cannabis-type
Sudan	Cocaine-type
Sudan	Opioids
Sudan	Opioids
Sudan	Substances not under international control
Sudan	ATS
Sudan	Cannabis-type
Sudan	Cannabis-type
Sudan	Cocaine-type
Sudan	Opioids
Sudan	Substances not under international control
Sudan	Substances not under international control
Tunisia	ATS
Tunisia	Cannabis-type
Tunisia	Cocaine-type
Tunisia	Hallucinogens
Tunisia	Opioids
Tunisia	Opioids
Tunisia	Sedatives and Tranquillizers
Tunisia	ATS
Tunisia	Cannabis-type
Tunisia	Cannabis-type
Tunisia	Cocaine-type
Tunisia	Opioids
Tunisia	Opioids
Tunisia	Cannabis-type
Tunisia	Cocaine-type
Tunisia	Opioids
Tunisia	Sedatives and Tranquillizers
Tunisia	ATS
Tunisia	Cannabis-type
Tunisia	Cannabis-type
Tunisia	Cocaine-type
Tunisia	Opioids
Tunisia	Opioids
Tunisia	Substances not under international control
Tunisia	ATS
Tunisia	Cannabis-type
Tunisia	Cocaine-type
Tunisia	Opioids
Angola	ATS
Angola	Cannabis-type
Angola	Cannabis-type
Angola	Cocaine-type
Angola	Cannabis-type
Angola	Cannabis-type
Angola	Cocaine-type
Angola	Cocaine-type
Angola	Cannabis-type
Angola	Cannabis-type
Angola	Cocaine-type
Angola	Cocaine-type
Eswatini	Cannabis-type
Eswatini	Cannabis-type
Eswatini	Cannabis-type
Eswatini	Cocaine-type
Eswatini	Opioids
Mozambique	ATS
Mozambique	Cannabis-type
Mozambique	Cocaine-type
Mozambique	Opioids
Mozambique	ATS
Mozambique	Cannabis-type
Mozambique	Cocaine-type
Mozambique	Opioids
Mozambique	Cannabis-type
Mozambique	Cocaine-type
Mozambique	Opioids
Mozambique	Precursors
Mozambique	Sedatives and Tranquillizers
Mozambique	Cannabis-type
Mozambique	Cannabis-type
Mozambique	Cocaine-type
Mozambique	Hallucinogens
Mozambique	Opioids
Mozambique	Precursors
Mozambique	Sedatives and Tranquillizers
Mozambique	Cannabis-type
Mozambique	Cannabis-type
Mozambique	Cocaine-type
Mozambique	Opioids
Mozambique	Precursors
Mozambique	Substances not under international control
Namibia	ATS
Namibia	ATS
Namibia	ATS
Namibia	ATS
Namibia	Cannabis-type
Namibia	Cocaine-type
